"Story","Title","Result","Date","Stability","Duration (s)"
"Carrito de compras","Carrito de compras","PENDING","2025-03-23T19:57:26.5292866-05:00[America/Bogota]","0.0","0.2"
"Carrito de compras","Carrito de compras","SUCCESS","2025-03-23T19:58:14.0212915-05:00[America/Bogota]","0.0","9.59"
